date,views
20150701,15849
20150702,16046
20150703,17525
20150704,21141
20150705,22729
20150706,21428
20150707,17538
20150708,16484
20150709,16002
20150710,15755
20150711,19557
20150712,23086
20150713,19258
20150714,17276
20150715,16005
20150716,15384
20150717,16119
20150718,19997
20150719,23495
20150720,18941
20150721,16236
20150722,15606
20150723,16142
20150724,18241
20150725,26709
20150726,26658
20150727,20200
20150728,16252
20150729,14889
20150730,14477
20150731,15198
20150801,18148
20150802,20563
20150803,16179
20150804,14855
20150805,14032
20150806,13786
20150807,13728
20150808,18079
20150809,20452
20150810,16355
20150811,14362
20150812,13896
20150813,13621
20150814,13105
20150815,16548
20150816,19614
20150817,16244
20150818,14264
20150819,14239
20150820,14682
20150821,32015
20150822,36172
20150823,39260
20150824,26288
20150825,21553
20150826,19623
20150827,18586
20150828,16794
20150829,20332
20150830,25560
20150831,21406
20150901,15326
20150902,13667
20150903,13443
20150904,15386
20150905,19250
20150906,22073
20150907,20912
20150908,15964
20150909,15503
20150910,12881
20150911,14039
20150912,21553
20150913,25569
20150914,40600
20150915,20203
20150916,17638
20150917,16575
20150918,16948
20150919,27786
20150920,29363
20150921,20027
20150922,15567
20150923,15603
20150924,16702
20150925,17772
20150926,19838
20150927,24775
20150928,20646
20150929,20606
20150930,18486
20151001,17950
20151002,24326
20151003,34774
20151004,36622
20151005,36305
20151006,24868
20151007,20641
20151008,19234
20151009,21548
20151010,28911
20151011,34363
20151012,25399
20151013,19053
20151014,17564
20151015,17274
20151016,17986
20151017,24441
20151018,25083
20151019,20993
20151020,16007
20151021,16501
20151022,14677
20151023,16135
20151024,19310
20151025,25514
20151026,17396
20151027,13534
20151028,12626
20151029,12536
20151030,13325
20151031,16464
20151101,17601
20151102,16650
20151103,12192
20151104,12188
20151105,12440
20151106,12798
20151107,16266
20151108,50379
20151109,21404
20151110,14322
20151111,22213
20151112,24362
20151113,14599
20151114,23489
20151115,25037
20151116,14965
20151117,11757
20151118,11185
20151119,11004
20151120,14957
20151121,16709
20151122,24820
20151123,14322
20151124,11194
20151125,10594
20151126,11009
20151127,15810
20151128,20255
20151129,18705
20151130,13921
20151201,13044
20151202,11222
20151203,10219
20151204,10347
20151205,13070
20151206,14894
20151207,12471
20151208,10495
20151209,10105
20151210,14933
20151211,12764
20151212,17517
20151213,23386
20151214,19490
20151215,16839
20151216,16800
20151217,18159
20151218,17643
20151219,32998
20151220,33623
20151221,23348
20151222,27495
20151223,24204
20151224,20589
20151225,24962
20151226,38268
20151227,40538
20151228,39504
20151229,29949
20151230,33297
20151231,35206
20160101,36263
20160102,34344
20160103,31882
20160104,25816
20160105,21788
20160106,18622
20160107,17285
20160108,16691
20160109,21149
20160110,32357
20160111,21880
20160112,15612
20160113,14942
20160114,15110
20160115,16303
20160116,24641
20160117,24272
20160118,20672
20160119,16344
20160120,13715
20160121,14621
20160122,15789
20160123,21093
20160124,25835
20160125,17151
20160126,13999
20160127,13200
20160128,14702
20160129,12581
20160130,16659
20160131,22853
20160201,15880
20160202,11278
20160203,11144
20160204,10650
20160205,11866
20160206,15615
20160207,17010
20160208,12507
20160209,11944
20160210,10271
20160211,13089
20160212,14070
20160213,17992
20160214,19701
20160215,19728
20160216,13946
20160217,15112
20160218,12000
20160219,12165
20160220,14565
20160221,17972
20160222,14470
20160223,11213
20160224,10724
20160225,10382
20160226,15764
20160227,18974
20160228,19962
20160229,17700
20160301,12688
20160302,11170
20160303,10870
20160304,10429
20160305,13524
20160306,17143
20160307,11763
20160308,9557
20160309,9448
20160310,9144
20160311,9115
20160312,16146
20160313,14024
20160314,10991
20160315,9085
20160316,8576
20160317,9440
20160318,8887
20160319,18654
20160320,16995
20160321,11043
20160322,8861
20160323,8613
20160324,13493
20160325,11685
20160326,12353
20160327,13964
20160328,13622
20160329,10181
20160330,9196
20160331,8588
20160401,10401
20160402,10364
20160403,12620
20160404,10450
20160405,8210
20160406,8327
20160407,10085
20160408,9392
20160409,10152
20160410,11258
20160411,10335
20160412,8521
20160413,8540
20160414,7685
20160415,8001
20160416,9623
20160417,12106
20160418,9926
20160419,8507
20160420,8327
20160421,7958
20160422,11303
20160423,13071
20160424,10818
20160425,9262
20160426,8150
20160427,10230
20160428,7896
20160429,7616
20160430,9334
20160501,11326
20160502,9739
20160503,7926
20160504,7823
20160505,8044
20160506,8139
20160507,8275
20160508,9429
20160509,9016
20160510,7997
20160511,8301
20160512,7645
20160513,8354
20160514,15345
20160515,12522
20160516,10284
20160517,8492
20160518,8039
20160519,8442
20160520,8798
20160521,9068
20160522,10225
20160523,9799
20160524,9176
20160525,8660
20160526,8749
20160527,8015
20160528,8259
20160529,10094
20160530,11638
20160531,9168
20160601,8437
20160602,8162
20160603,7875
20160604,9192
20160605,11873
20160606,9436
20160607,8007
20160608,8478
20160609,8760
20160610,8781
20160611,10195
20160612,50002
20160613,12497
20160614,10332
20160615,8402
20160616,7982
20160617,7601
20160618,10077
20160619,10429
20160620,8035
20160621,7620
20160622,7549
20160623,7364
20160624,7419
20160625,9058
20160626,10280
20160627,8553
20160628,7878
20160629,7272
20160630,7278
20160701,10057
20160702,11755
20160703,10732
20160704,10284
20160705,10042
20160706,11885
20160707,8621
20160708,7586
20160709,9155
20160710,9326
20160711,8117
20160712,7481
20160713,7644
20160714,7227
20160715,7053
20160716,10031
20160717,9932
20160718,9600
20160719,10552
20160720,10471
20160721,7256
20160722,7847
20160723,7981
20160724,9037
20160725,8731
20160726,7997
20160727,8201
20160728,7937
20160729,7754
20160730,9908
20160731,11113
20160801,8990
20160802,7671
20160803,7397
20160804,7330
20160805,11859
20160806,11166
20160807,11090
20160808,10874
20160809,10074
20160810,8628
20160811,8407
20160812,7686
20160813,9247
20160814,9731
20160815,8995
20160816,8063
20160817,8559
20160818,8557
20160819,7938
20160820,8766
20160821,11472
20160822,9422
20160823,8080
20160824,9631
20160825,11263
20160826,9250
20160827,9566
20160828,11466
20160829,9863
20160830,9290
20160831,9196
20160901,8239
20160902,7940
20160903,9006
20160904,10430
20160905,11673
20160906,8471
20160907,7158
20160908,6633
20160909,7578
20160910,8707
20160911,9988
20160912,11990
20160913,10283
20160914,8081
20160915,6947
20160916,7013
20160917,9146
20160918,9843
20160919,8317
20160920,7859
20160921,7528
20160922,7303
20160923,7542
20160924,8737
20160925,9387
20160926,11279
20160927,7133
20160928,7592
20160929,7128
20160930,12739
20161001,11897
20161002,10447
20161003,8533
20161004,7410
20161005,7046
20161006,7223
20161007,8064
20161008,8628
20161009,9532
20161010,9091
20161011,8206
20161012,7428
20161013,10440
20161014,7650
20161015,8696
20161016,11645
20161017,10778
20161018,8286
20161019,7648
20161020,6444
20161021,7299
20161022,8582
20161023,9597
20161024,7849
20161025,6690
20161026,6712
